Generation,Max_Score,Avg_Score,max_fitness,Avg_fitness
218.0,70,19.482,43656033.28710125,14801540.77780967
219.0,68,21.72,48699167.65755053,16552518.212578403
220.0,72,20.594,47635313.99605745,15573961.713580608
221.0,71,21.746,49687622.78978389,16561496.69271709
222.0,79,20.828,49691894.94493081,15414365.25718771
223.0,74,21.358,49674559.47136564,16087973.616173983
224.0,73,19.99,48655883.99330731,14663249.189721687
225.0,73,20.886,50667539.2670157,15437243.33005173
226.0,76,21.338,51665996.986438975,15946750.320535446
227.0,71,21.62,50710306.40668523,16226014.671054298
228.0,73,23.844,54662207.35785953,18164512.475956034
229.0,73,22.282,49675675.675675675,16900589.434504718
230.0,78,23.744,52718831.507563904,18020967.901505865
231.0,70,22.012,51681397.7389517,16494665.40153152
232.0,70,21.626,51713094.9179887,15938341.055265624
233.0,86,22.508,52671212.85923039,16843422.60775599
234.0,73,23.572,53675000.0,17890598.204017296
235.0,74,22.962,55695259.59367946,16996298.362973407
236.0,81,21.904,52677149.87714988,16110900.796845047
237.0,77,23.542,55680813.43943413,17608738.94550142
238.0,78,23.248,56672000.0,17143783.751039613
239.0,83,24.004,56718271.82718272,18023936.27070047
240.0,88,23.612,56675984.75222363,17394703.32128989
241.0,82,23.932,54711377.245508984,17840214.9003897
242.0,76,24.134,55708208.78362842,18180075.2506015
243.0,84,25.56,59667798.52857951,19304233.61007771
244.0,79,26.27,59674799.84750286,20079876.340851054
245.0,81,26.202,60724465.55819477,19709324.928094078
246.0,81,25.632,60707793.4635467,19387517.99495993
247.0,85,26.738,58676685.78208424,20528828.303373776
248.0,82,26.614,61703758.83885374,20086891.938295055
249.0,85,27.096,62677771.993753254,20577061.665110562
250.0,77,25.532,60696214.571048126,19101531.17555548
251.0,98,27.8,62701005.02512563,21271530.010058053
